Step Title,Question Text,Answer,Theme,Number
ROUND 3,Round 3 will have  a special THEME that dictates how the answers are SORTED! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess at the bottom of the sheet and hand it in at the end of THIS round!,,,
R3 Q1,What movie from 2004 is described in this review: someone get me some of that fairy dust shit i wanna marry mark ruffalo so bad,13 Going on 30,,
R3 Q2,"What is it called when part of an artery wall weakens, allowing it to balloon out, widen, or even rupture?",Aneurysm,,
R3 Q3,"What animated film from 2005 won Best Animated Film, used puppets, and  included maggots whos mannerisms were based off Peter Lorre",Corpse Bride,,
R3 Q4,Harley Quinn,Doctor,,
R3 Q5,"Which stand-up comedian has the specials: Laugh At My Pain, I'm A Grown Little Man, and Let Me Explain?",Kevin Hart,,
R3 Q6,"In tennis what is the term for a score of ""0"", based on the French term for ""the egg""?",Love,,
R3 Q7,"What is the title of this popular song, covered in ""bardcore"" style?",Paranoid,,
R3 Q8,"What is the mascot for Valsic Pickels? (It doesn't have an official name, just tell me what it is)",stork,,
R3 Q9,Who was the host of Project Runway?,Tim Gunn,,
R3 Q10,Who's this pokemon? Pokedex #:110 ; Category:Poison Gas ; Type:Poison ; Description: It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day. ,weezing,,
