Step Title,Question Text,Answer,Theme,Number
BEGINNING,Round 1 is about to begin,,,
R1 Q1,"Fill in the missing word from this quote from Divergent by Veronica Roth: ""____ doesn't shut you down. It wakes you up."" ",(Fear),,
R1 Q2,"Bastet, or Bast, was a cat goddess from what polytheistic religion?", (Egypt),,
R1 Q3,"Which president had a Duiker, which is a very small antelope, while in office?", (Calvin Coolidge),,
R1 Q4,a. Viagra was accidentally invented by what company? ,(Pfeizer),,
R1 Q5,"What does ""R R"" stand for in George R R Martin? Guess both for two points and one for one point.", (Raymond Richard),,
R1 Q6,Name this SONG and ARTIST from 1986! (2 points!),a. I can't wait - nu shooz,,
R1 Q7,"It didn't get the Oscar, but this 2017 film stars Saoirse Ronan and Timothee Chalamet. ",(Lady Bird),,
R1 Q8,"His striking resemblance to Gir from Invader Zim is far from just aesthetic. After all, they’re both robots designed for war who turned out to be a little different than the rest of the mechanical soldiers. What is the name of this classic PlayStation character? ",(Clank),,
R1 Q9,"a. When ""Halloween Ends"" comes out, it will be the __th movie in the franchise.", (13th),,
R1 Q10,What SONG does this verse from Wiz Khalifa appear in?,,,
R1 BREAK,Round 2 will begin after this break!,,,
