Step Title,Question Text,Answer,Theme,Number
BEGINNING,Round 1 is about to begin,,,
R1 Q1,Where was the Beatles' US Concert Debut?,Washington Colleseum,,
R1 Q2,Who is the host Survivor,Jeff Probst,,
R1 Q3,"Which stand-up comedian has the specials: Mr. Universe, King Baby, Beyond the Pale?",Jim Gaffigan,,
R1 Q4,"In golf, what is the term for three under par?",Albatross,,
R1 Q5,"Of Mike Tyson's 15 knockouts in the 1985 season, how many of them were in the first round?",11,,
R1 Q6,What is the name of the Pillsbury Doughboy?,Poppin Fresh,,
R1 Q7,Who's this pokemon? Pokedex #: 100; Category: Ball; Type: Electric; Description: It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.,Voltorb,,
R1 Q8,"What is the title of this popular song, covered in ""bardcore"" style?",Bad Romance,,
R1 Q9,What is the secrect identity of Dare Devil?,Matt Murdock,,
R1 Q10,All the guitar playing in this musical adventure from 2017 is animated correctly.,Coco,,
R1 BREAK,Round 2 will begin after this break!,,,
