Step Title,Question Text,Answer,Theme,Number
BEGINNING,Round 1 is about to begin,,,
R1 Q1,,,,
R1 Q2,,,,
R1 Q3,,,,
R1 Q4,,,,
R1 Q5,,,,
R1 Q6,,,,
R1 Q7,,,,
R1 Q8,,,,
R1 Q9,,,,
R1 Q10,,,,
R1 BREAK,Round 2 will begin after this break!,,,
R2 Q1,,,,
R2 Q2,,,,
R2 Q3,,,,
R2 Q4,,,,
R2 Q5,,,,
R2 Q6,,,,
R2 Q7,,,,
R2 Q8,,,,
R2 Q9,,,,
R2 Q10,,,,
R2 BREAK,Round 3 will begin after this break!,,,
ROUND 3,Round 3 will have  a special THEME that applies to all the ANSWERS this round! It is secrect! If you figure out that the theme is you can wager points to guess what it is. Write your wager+ guess in ROUND 4 section + hand it in at the end of THIS round!,,,
R3 Q1,,,,
R3 Q2,,,,
R3 Q3,,,,
R3 Q4,,,,
R3 Q5,,,,
R3 Q6,,,,
R3 Q7,,,,
R3 Q8,,,,
R3 Q9,,,,
R3 Q10,,,,
